province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion,PH-AGN-0-90,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion,PH-AGN-0-90,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 1,PH-AGN-0-91,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 10,PH-AGN-0-92,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 2,PH-AGN-0-93,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 3,PH-AGN-0-94,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 4,PH-AGN-0-95,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 5,PH-AGN-0-96,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 6,PH-AGN-0-97,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 7,PH-AGN-0-98,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 8,PH-AGN-0-99,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Poblacion 9,PH-AGN-0-100,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Puting Bato,PH-AGN-0-101,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Rizal,PH-AGN-0-102,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Rizal,PH-AGN-0-102,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Rizal,PH-AGN-0-102,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Rufo Hill,PH-AGN-0-103,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sabang Pinamasagan,PH-AGN-0-104,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sabang Piris,PH-AGN-0-105,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sacol,PH-AGN-0-106,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Salvacion,PH-AGN-0-107,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Diego,PH-AGN-0-108,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Fernando,PH-AGN-0-109,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Isidro,PH-AGN-0-110,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Isidro Ibaba,PH-AGN-0-111,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Isidro Ilaya,PH-AGN-0-112,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Miguel,PH-AGN-0-113,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Nicolas,PH-AGN-0-114,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Pablo,PH-AGN-0-115,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Pedro,PH-AGN-0-116,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Pedro (Villa Rodrigo),PH-AGN-0-117,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Roque,PH-AGN-0-118,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,San Vicente,PH-AGN-0-119,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sangay,PH-AGN-0-120,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Santo Rosario,PH-AGN-0-121,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sawang,PH-AGN-0-122,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Siain,PH-AGN-0-123,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sihi,PH-AGN-0-124,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Simbalan,PH-AGN-0-125,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Supang,PH-AGN-0-126,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Sweetland,PH-AGN-0-127,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Tacay,PH-AGN-0-128,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Talo-ao,PH-AGN-0-129,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Taminla,PH-AGN-0-130,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Tanag,PH-AGN-0-131,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Tastasan,PH-AGN-0-132,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Timbo (Sanggulong),PH-AGN-0-133,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Tinadtaran,PH-AGN-0-134,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Tungib-Lipata,PH-AGN-0-135,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Umilig,PH-AGN-0-136,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Villa Aurora,PH-AGN-0-137,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Villa Batabat,PH-AGN-0-138,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Villa Magsaysay,PH-AGN-0-139,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Villa Veronica,PH-AGN-0-140,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Western Cabul-an,PH-AGN-0-141,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Yook,PH-AGN-0-142,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Zaldivar,PH-AGN-0-143,5044
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Agao Pob. (Bgy. 3),PH-AGN-1-0,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Agusan Peque,PH-AGN-1-1,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Ambago,PH-AGN-1-2,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Amparo,PH-AGN-1-3,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Ampayon,PH-AGN-1-4,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Anticala,PH-AGN-1-5,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Antongalon,PH-AGN-1-6,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Aupagan,PH-AGN-1-7,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Baan KM 3,PH-AGN-1-8,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Baan Riverside Pob. (Bgy. 20),PH-AGN-1-9,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Babag,PH-AGN-1-10,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bading Pob. (Bgy. 22),PH-AGN-1-11,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bancasi,PH-AGN-1-12,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Banza,PH-AGN-1-13,8600
