state,country,city,zip
AK,North Slope Borough,BARROW,99723
AK,Yukon-Koyukuk Census Area,BEAVER,99724
AK,Fairbanks North Star Borough,ESTER,99725
AK,Yukon-Koyukuk Census Area,BETTLES FIELD,99726
AK,Northwest Arctic Borough,BUCKLAND,99727
AK,Denali Borough,CANTWELL,99729
AK,Yukon-Koyukuk Census Area,CENTRAL,99730
AK,Southeast Fairbanks Census Area,FORT GREELY,99731
AK,Southeast Fairbanks Census Area,CHICKEN,99732
AK,Yukon-Koyukuk Census Area,CIRCLE,99733
AK,North Slope Borough,PRUDHOE BAY,99734
AK,Northwest Arctic Borough,DEERING,99736
AK,Southeast Fairbanks Census Area,DELTA JUNCTION,99737
AK,Southeast Fairbanks Census Area,EAGLE,99738
AK,Nome Census Area,ELIM,99739
AK,Yukon-Koyukuk Census Area,FORT YUKON,99740
AK,Yukon-Koyukuk Census Area,GALENA,99741
AK,Nome Census Area,GAMBELL,99742
AK,Denali Borough,HEALY,99743
AK,Denali Borough,ANDERSON,99744
AK,Yukon-Koyukuk Census Area,HUGHES,99745
AK,Yukon-Koyukuk Census Area,HUSLIA,99746
AK,North Slope Borough,KAKTOVIK,99747
AK,Yukon-Koyukuk Census Area,KALTAG,99748
AK,Northwest Arctic Borough,KIANA,99749
AK,Northwest Arctic Borough,KIVALINA,99750
AK,Northwest Arctic Borough,KOBUK,99751
AK,Northwest Arctic Borough,KOTZEBUE,99752
AK,Nome Census Area,KOYUK,99753
AK,Yukon-Koyukuk Census Area,KOYUKUK,99754
AK,Denali Borough,DENALI NATIONAL PARK,99755
AK,Yukon-Koyukuk Census Area,MANLEY HOT SPRINGS,99756
AK,Yukon-Koyukuk Census Area,LAKE MINCHUMINA,99757
AK,Yukon-Koyukuk Census Area,MINTO,99758
AK,North Slope Borough,POINT LAY,99759
AK,Yukon-Koyukuk Census Area,NENANA,99760
AK,Northwest Arctic Borough,NOATAK,99761
AK,Nome Census Area,GOLOVIN,99762
AK,Northwest Arctic Borough,NOORVIK,99763
AK,Southeast Fairbanks Census Area,NORTHWAY,99764
AK,Yukon-Koyukuk Census Area,NULATO,99765
AK,North Slope Borough,POINT HOPE,99766
AK,Yukon-Koyukuk Census Area,RAMPART,99767
AK,Yukon-Koyukuk Census Area,RUBY,99768
AK,Nome Census Area,SAVOONGA,99769
AK,Northwest Arctic Borough,SELAWIK,99770
AK,Nome Census Area,SHAKTOOLIK,99771
AK,Nome Census Area,SHISHMAREF,99772
AK,Northwest Arctic Borough,SHUNGNAK,99773
AK,Yukon-Koyukuk Census Area,STEVENS VILLAGE,99774
AK,Fairbanks North Star Borough,FAIRBANKS,99775
AK,Southeast Fairbanks Census Area,TANACROSS,99776
AK,Yukon-Koyukuk Census Area,TANANA,99777
AK,Nome Census Area,TELLER,99778
AK,Southeast Fairbanks Census Area,MENTASTA LAKE,99780
AK,Yukon-Koyukuk Census Area,VENETIE,99781
AK,North Slope Borough,WAINWRIGHT,99782
AK,Nome Census Area,WALES,99783
AK,Nome Census Area,WHITE MOUNTAIN,99784
AK,Nome Census Area,BREVIG MISSION,99785
AK,Northwest Arctic Borough,AMBLER,99786
AK,Yukon-Koyukuk Census Area,CHALKYITSIK,99788
AK,North Slope Borough,NUIQSUT,99789
AK,Fairbanks North Star Borough,FAIRBANKS,99790
AK,North Slope Borough,ATQASUK,99791
AK,Juneau City and Borough,JUNEAU,99801
AK,Juneau City and Borough,JUNEAU,99802
AK,Juneau City and Borough,JUNEAU,99803
AK,Juneau City and Borough,JUNEAU,99811
AK,Juneau City and Borough,JUNEAU,99812
AK,Hoonah-Angoon Census Area,ANGOON,99820
AK,Juneau City and Borough,AUKE BAY,99821
AK,Juneau City and Borough,DOUGLAS,99824
AK,Hoonah-Angoon Census Area,ELFIN COVE,99825
AK,Hoonah-Angoon Census Area,GUSTAVUS,99826
AK,Haines Borough,HAINES,99827
AK,Hoonah-Angoon Census Area,HOONAH,99829
AK,Petersburg Census Area,KAKE,99830
AK,Hoonah-Angoon Census Area,PELICAN,99832
AK,Petersburg Census Area,PETERSBURG,99833
AK,Sitka City and Borough,SITKA,99835
AK,Sitka City and Borough,PORT ALEXANDER,99836
AK,Skagway Municipality,SKAGWAY,99840
AK,Hoonah-Angoon Census Area,TENAKEE SPRINGS,99841
AK,Juneau City and Borough,JUNEAU,99850
AK,Ketchikan Gateway Borough,EDNA BAY,99901
AK,Ketchikan Gateway Borough,MEYERS CHUCK,99903
AK,Prince of Wales-Hyder Census Area,COFFMAN COVE,99918
AK,Prince of Wales-Hyder Census Area,THORNE BAY,99919
AK,Prince of Wales-Hyder Census Area,CRAIG,99921
AK,Prince of Wales-Hyder Census Area,HYDABURG,99922
AK,Prince of Wales-Hyder Census Area,HYDER,99923
AK,Prince of Wales-Hyder Census Area,KLAWOCK,99925
AK,Prince of Wales-Hyder Census Area,METLAKATLA,99926
