state,country,city,zip
AK,Yukon-Koyukuk Census Area,GALENA,99741
AK,Yukon-Koyukuk Census Area,GRAYLING,99590
AK,Yukon-Koyukuk Census Area,HOLY CROSS,99602
AK,Yukon-Koyukuk Census Area,HUGHES,99745
AK,Yukon-Koyukuk Census Area,HUSLIA,99746
AK,Yukon-Koyukuk Census Area,KALTAG,99748
AK,Yukon-Koyukuk Census Area,KOYUKUK,99754
AK,Yukon-Koyukuk Census Area,LAKE MINCHUMINA,99757
AK,Yukon-Koyukuk Census Area,MANLEY HOT SPRINGS,99756
AK,Yukon-Koyukuk Census Area,MC GRATH,99627
AK,Yukon-Koyukuk Census Area,MINTO,99758
AK,Yukon-Koyukuk Census Area,NENANA,99760
AK,Yukon-Koyukuk Census Area,NIKOLAI,99691
AK,Yukon-Koyukuk Census Area,NULATO,99765
AK,Yukon-Koyukuk Census Area,RAMPART,99767
AK,Yukon-Koyukuk Census Area,RUBY,99768
AK,Yukon-Koyukuk Census Area,SHAGELUK,99665
AK,Yukon-Koyukuk Census Area,STEVENS VILLAGE,99774
AK,Yukon-Koyukuk Census Area,TAKOTNA,99675
AK,Yukon-Koyukuk Census Area,TANANA,99777
AK,Yukon-Koyukuk Census Area,VENETIE,99781
AL,Autauga County,AUTAUGAVILLE,36003
AL,Autauga County,BILLINGSLEY,36006
AL,Autauga County,BOOTH,36008
AL,Autauga County,DEATSVILLE,36022
AL,Autauga County,JONES,36749
AL,Autauga County,MARBURY,36051
AL,Autauga County,PLANTERSVILLE,36758
AL,Autauga County,PRATTVILLE,36066
AL,Autauga County,PRATTVILLE,36067
AL,Autauga County,PRATTVILLE,36068
AL,Autauga County,SELMA,36703
AL,Autauga County,VERBENA,36091
AL,Baldwin County,ATMORE,36502
AL,Baldwin County,BAY MINETTE,36507
AL,Baldwin County,BON SECOUR,36511
AL,Baldwin County,DAPHNE,36526
AL,Baldwin County,DAPHNE,36527
AL,Baldwin County,ELBERTA,36530
AL,Baldwin County,FAIRHOPE,36532
AL,Baldwin County,FAIRHOPE,36533
AL,Baldwin County,FOLEY,36535
AL,Baldwin County,FOLEY,36536
AL,Baldwin County,GULF SHORES,36542
AL,Baldwin County,GULF SHORES,36547
AL,Baldwin County,LILLIAN,36549
AL,Baldwin County,LITTLE RIVER,36550
AL,Baldwin County,LOXLEY,36551
AL,Baldwin County,MAGNOLIA SPRINGS,36555
AL,Baldwin County,MONTROSE,36559
AL,Baldwin County,ORANGE BEACH,36561
AL,Baldwin County,PERDIDO,36562
AL,Baldwin County,POINT CLEAR,36564
AL,Baldwin County,ROBERTSDALE,36567
AL,Baldwin County,SEMINOLE,36574
AL,Baldwin County,SILVERHILL,36576
AL,Baldwin County,SPANISH FORT,36577
AL,Baldwin County,STAPLETON,36578
AL,Baldwin County,STOCKTON,36579
AL,Baldwin County,SUMMERDALE,36580
AL,Barbour County,ARITON,36311
AL,Barbour County,BANKS,36005
AL,Barbour County,CLAYTON,36016
AL,Barbour County,CLIO,36017
AL,Barbour County,CLOPTON,36317
AL,Barbour County,EUFAULA,36027
AL,Barbour County,EUFAULA,36072
AL,Barbour County,LOUISVILLE,36048
AL,Barbour County,MIDWAY,36053
AL,Barbour County,SKIPPERVILLE,36374
AL,Bibb County,BRENT,35034
AL,Bibb County,BRIERFIELD,35035
AL,Bibb County,CENTREVILLE,35042
AL,Bibb County,DUNCANVILLE,35456
AL,Bibb County,GREEN POND,35074
AL,Bibb County,LAWLEY,36793
AL,Bibb County,MAPLESVILLE,36750
AL,Bibb County,MONTEVALLO,35115
AL,Bibb County,RANDOLPH,36792
AL,Bibb County,WEST BLOCTON,35184
AL,Bibb County,WOODSTOCK,35188
AL,Blount County,ALLGOOD,35013
AL,Blount County,ALTOONA,35952
AL,Blount County,ARAB,35016
AL,Blount County,BLOUNTSVILLE,35031
AL,Blount County,BOAZ,35957
AL,Blount County,CLEVELAND,35049
AL,Blount County,EMPIRE,35063
AL,Blount County,GUNTERSVILLE,35976
AL,Blount County,HAYDEN,35079
AL,Blount County,HORTON,35980
AL,Blount County,LOCUST FORK,35097
AL,Blount County,ONEONTA,35121
AL,Blount County,PINSON,35126
AL,Blount County,REMLAP,35133
AL,Blount County,SPRINGVILLE,35146
AL,Blount County,TRAFFORD,35172
AL,Blount County,WARRIOR,35180
AL,Bullock County,FITZPATRICK,36029
AL,Bullock County,GREENVILLE,36037
AL,Bullock County,HURTSBORO,36860
AL,Bullock County,MATHEWS,36052
AL,Bullock County,PEROTE,36061
AL,Bullock County,RAMER,36069
AL,Bullock County,TROY,36081
AL,Bullock County,UNION SPRINGS,36089
AL,Butler County,CHAPMAN,36015
AL,Butler County,FOREST HOME,36030
AL,Butler County,FORT DEPOSIT,36032
AL,Butler County,GEORGIANA,36033
AL,Butler County,HONORAVILLE,36042
AL,Butler County,MC KENZIE,36456
AL,Butler County,RED LEVEL,36474
AL,Butler County,RUTLEDGE,36071
AL,Calhoun County,ALEXANDRIA,36250
AL,Calhoun County,ANNISTON,36201
AL,Calhoun County,ANNISTON,36202
AL,Calhoun County,ANNISTON,36204
AL,Calhoun County,ANNISTON,36205
AL,Calhoun County,ANNISTON,36206
AL,Calhoun County,ANNISTON,36207
AL,Calhoun County,BYNUM,36253
AL,Calhoun County,CHOCCOLOCCO,36254
