countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Qunfudah,القنفذة,SA-MK-22
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Nwariah,النورية,SA-MK-23
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Muthaleif,المظيلف,SA-MK-24
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Mastura,مستورة,SA-MK-25
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Makkah,مكة,SA-MK-26
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Laith,الليث,SA-MK-27
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Khurma,الخرمة,SA-MK-28
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Khulais,خليص,SA-MK-29
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Jumum,الجموم,SA-MK-30
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Jeddah,جدة,SA-MK-31
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ja'araneh,الجعرانة,SA-MK-32
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Bahrat Al Moujoud,بحرة الموجود,SA-MK-33
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Bahara,بحرة,SA-MK-34
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ash Shuqaiq,الشوقية,SA-MK-35
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Asfan,عسفان,SA-MK-36
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Amaq,عمق,SA-MK-37
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Alhada,الهدا,SA-MK-38
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Daghbag,دغبج,SA-MK-39
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Maysaan,ميسان,SA-MK-40
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Namira,نمره,SA-MK-41
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,ElMahany,المحاني ,SA-MK-42
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Kulaikh,كلاخ,SA-MK-43
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Abu Rakh,أبو راكة,SA-MK-44
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Torbah,تربه ,SA-MK-45
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Mowyah,المويه ,SA-MK-46
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,El ser,السر,SA-MK-47
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Adham,اضم ,SA-MK-48
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Khurma,الخرمة,SA-MK-49
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ash Shafa,الشفا,SA-MK-50
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Almahameed,المحاميد,SA-MK-51
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Kamil,الكامل,SA-MK-52
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Asheera,عشيره ,SA-MK-53
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Hadaad Bani Malek,حداد بني مالك,SA-MK-54
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ashayrah,عشيرة,SA-MK-55
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Khoar,الخوار,SA-MK-56
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Um Aldoom,ام الدوم,SA-MK-57
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Raneeh,رنيه,SA-MK-58
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Qia,قيا ,SA-MK-59
