,
".mw-parser-output .monospaced{font-family:monospace,monospace}GB-ENG
",,"country
",イングランド,,イングランドの旗
"GB-NIR
","  Northern Ireland
","province
",北アイルランド,,
"GB-SCT
",,"country
",スコットランド,,スコットランドの旗
"GB-WLS
GB-SHR,Shropshire,シュロップシャー,unitary authority,GB-ENG,"
",,
GB-SLG,Slough,スラウ,unitary authority,GB-ENG,"
",,
GB-SOL,Solihull,英語版,metropolitan district,GB-ENG,ソリフル,,
GB-SOM,Somerset,サマセット,two-tier county,GB-ENG,"
",,
GB-SAY,South Ayrshire,サウス・エアシャー,council area,GB-SCT,"
",,
GB-SGC,South Gloucestershire,英語版,unitary authority,GB-ENG,グロスタシャー,,
GB-SLK,South Lanarkshire,サウス・ラナークシャー,council area,GB-SCT,"
",,
GB-STY,South Tyneside,英語版,metropolitan district,GB-ENG,タイン・アンド・ウィア,,
GB-STH,Southampton,サウサンプトン,unitary authority,GB-ENG,"
",,
GB-SOS,Southend-on-Sea,サウスエンド＝オン＝シー,unitary authority,GB-ENG,"
",,
GB-SWK,Southwark,サザーク区,London borough,GB-ENG,"
",,
GB-SHN,St. Helens,英語版,metropolitan district,GB-ENG,セント・ヘレンズ,,
GB-STS,Staffordshire,スタッフォードシャー,two-tier county,GB-ENG,スタッフォード,,
GB-STG,Stirling,スターリング (カウンシル・エリア),council area,GB-SCT,スターリング,,
GB-SKP,Stockport,英語版,metropolitan district,GB-ENG,ストックポート,,
GB-STT,Stockton-on-Tees,英語版,unitary authority,GB-ENG,ストックトン＝オン＝ティーズ,,
GB-STE,Stoke-on-Trent,ストーク＝オン＝トレント,unitary authority,GB-ENG,"
",,
GB-SFK,Suffolk,サフォーク,two-tier county,GB-ENG,"
",,
GB-SND,Sunderland,シティ・オブ・サンダーランド,metropolitan district,GB-ENG,サンダーランド,,
GB-SRY,Surrey,サリー,two-tier county,GB-ENG,"
",,
GB-STN,Sutton,サットン区,London borough,GB-ENG,"
",,
GB-SWA,Swansea [Abertawe GB-ATA],スウォンジー,unitary authority,GB-WLS,"
",,
GB-SWD,Swindon,英語版,unitary authority,GB-ENG,スウィンドン,,
GB-TAM,Tameside,英語版,metropolitan district,GB-ENG,グレーター・マンチェスター,,
GB-TFW,Telford and Wrekin,英語版,unitary authority,GB-ENG,テルフォード,,
GB-THR,Thurrock,英語版,unitary authority,GB-ENG,イースト・オブ・イングランド,,
GB-TOB,Torbay,トーベイ,unitary authority,GB-ENG,"
",,
GB-TOF,Torfaen [Tor-faen],トルヴァエン,unitary authority,GB-WLS,"
",,
GB-TWH,Tower Hamlets,タワーハムレッツ区,London borough,GB-ENG,"
",,
GB-TRF,Trafford,トラフォード,metropolitan district,GB-ENG,"
",,
GB-VGL,"Vale of Glamorgan, The [Bro Morgannwg GB-BMG]",ヴェール・オブ・グラモーガン,unitary authority,GB-WLS,"
",,
GB-WKF,Wakefield,シティ・オブ・ウェイクフィールド,metropolitan district,GB-ENG,"
",,
GB-WLL,Walsall,英語版,metropolitan district,GB-ENG,ウォルソール,,
GB-WFT,Waltham Forest,ウォルサム・フォレスト区,London borough,GB-ENG,"
",,
GB-WND,Wandsworth,ワンズワース区,London borough,GB-ENG,"
",,
GB-WRT,Warrington,ウォリントン,unitary authority,GB-ENG,"
",,
GB-WAR,Warwickshire,ウォリックシャー,two-tier county,GB-ENG,"
",,
GB-WBK,West Berkshire,英語版,unitary authority,GB-ENG,バークシャー,,
GB-WDU,West Dunbartonshire,ウェスト・ダンバートンシャー,council area,GB-SCT,"
",,
GB-WLN,West Lothian,ウェスト・ロージアン,council area,GB-SCT,"
",,
GB-WSX,West Sussex,ウェスト・サセックス,two-tier county,GB-ENG,"
",,
GB-WSM,Westminster,シティ・オブ・ウェストミンスター,London borough,GB-ENG,"
",,
GB-WGN,Wigan,英語版,metropolitan district,GB-ENG,ウィガン,,
GB-WIL,Wiltshire,ウィルトシャー,unitary authority,GB-ENG,"
",,
GB-WNM,Windsor and Maidenhead,英語版,unitary authority,GB-ENG,メイデンヘッド,,
GB-WRL,Wirral,ウィラル,metropolitan district,GB-ENG,"
",,
GB-WOK,Wokingham,英語版,unitary authority,GB-ENG,ウォーキンガム,,
GB-WLV,Wolverhampton,ウルヴァーハンプトン,metropolitan district,GB-ENG,"
",,
GB-WOR,Worcestershire,ウスターシャー,two-tier county,GB-ENG,ウスター,,
GB-WRX,Wrexham [Wrecsam GB-WRC],レクサム (カウンティ・バラ),unitary authority,GB-WLS,レクサム,,
GB-YOR,York,ヨーク,unitary authority,GB-ENG,"
",,
